token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
забывая,забывать,ipf,ger,tran,,praes,,,act
всплывая,всплывать,ipf,ger,intr,,praes,,,act
пронесшись,пронестись,pf,ger,intr,,praet,,,med
благодаря,благодарить,ipf,ger,tran,,praes,,,act
забывая,забывать,ipf,ger,tran,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
предав,предать,pf,ger,tran,,praet,,,act
посмотрев,посмотреть,pf,ger,tran,,praet,,,act
продолжая,продолжать,ipf,ger,tran,,praes,,,act
кланяясь,кланяться,ipf,ger,intr,,praes,,,med
предвкушая,предвкушать,ipf,ger,tran,,praes,,,act
радуясь,радоваться,ipf,ger,intr,,praes,,,med
провозглашая,провозглашать,ipf,ger,tran,,praes,,,act
воспевая,воспевать,ipf,ger,tran,,praes,,,act
приняв,принять,pf,ger,tran,,praet,,,act
читая,читать,ipf,ger,tran,,praes,,,act
придя,прийти,pf,ger,intr,,praet,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
надеясь,надеяться,ipf,ger,intr,,praes,,,med
переходя,переходить,ipf,ger,tran,,praes,,,act
переходя,переходить,ipf,ger,tran,,praes,,,act
возвращаясь,возвращаться,ipf,ger,intr,,praes,,,med
умирая,умирать,ipf,ger,intr,,praes,,,act
умирая,умирать,ipf,ger,intr,,praes,,,act
отдав,отдать,pf,ger,tran,,praet,,,act
взглянув,взглянуть,pf,ger,intr,,praet,,,act
забыв,забыть,pf,ger,tran,,praet,,,act
заметив,заметить,pf,ger,tran,,praet,,,act
пройдя,пройти,pf,ger,tran,,praet,,,act
поняв,понять,pf,ger,tran,,praet,,,act
стоя,стоять,ipf,ger,intr,,praes,,,act
благодаря,благодарить,ipf,ger,tran,,praes,,,act
считая,считать,ipf,ger,tran,,praes,,,act
выздоровев,выздороветь,pf,ger,intr,,praet,,,act
дивясь,дивиться,ipf,ger,intr,,praes,,,med
читая,читать,ipf,ger,tran,,praes,,,act
глядя,глядеть,ipf,ger,intr,,praes,,,act
глядя,глядеть,ipf,ger,intr,,praes,,,act
глядя,глядеть,ipf,ger,intr,,praes,,,act
произнося,произносить,ipf,ger,tran,,praes,,,act
возрастая,возрастать,ipf,ger,intr,,praes,,,act
погружаясь,погружаться,ipf,ger,intr,,praes,,,med
принимая,принимать,ipf,ger,tran,,praes,,,act
принимая,принимать,ipf,ger,tran,,praes,,,act
приняв,принять,pf,ger,tran,,praet,,,act
погрузившись,погрузиться,pf,ger,intr,,praet,,,med
приняв,принять,pf,ger,tran,,praet,,,act
приобщая,приобщать,ipf,ger,tran,,praes,,,act
взирая,взирать,ipf,ger,intr,,praes,,,act
поднявшись,подняться,pf,ger,intr,,praet,,,med
вошедши,войти,pf,ger,intr,,praet,,,act
переливаясь,переливаться,ipf,ger,intr,,praes,,,med
изливаясь,изливаться,ipf,ger,intr,,praes,,,med
посмотрев,посмотреть,pf,ger,tran,,praet,,,act
соединяясь,соединяться,ipf,ger,intr,,praes,,,med
оставаясь,оставаться,ipf,ger,intr,,praes,,,med
встречая,встречать,ipf,ger,tran,,praes,,,act
вступая,вступать,ipf,ger,intr,,praes,,,act
взирая,взирать,ipf,ger,intr,,praes,,,act
поступая,поступать,ipf,ger,intr,,praes,,,act
замечая,замечать,ipf,ger,tran,,praes,,,act
проходя,проходить,ipf,ger,tran,,praes,,,act
взглянув,взглянуть,pf,ger,intr,,praet,,,act
ставя,ставить,ipf,ger,tran,,praes,,,act
ставя,ставить,ipf,ger,tran,,praes,,,act
читая,читать,ipf,ger,tran,,praes,,,act
познавая,познавать,ipf,ger,tran,,praes,,,act
читая,читать,ipf,ger,tran,,praes,,,act
слыша,слышать,ipf,ger,tran,,praes,,,act
отвечая,отвечать,ipf,ger,intr,,praes,,,act
встречаясь,встречаться,ipf,ger,intr,,praes,,,med
видя,видеть,ipf,ger,tran,,praes,,,act
слыша,слышать,ipf,ger,tran,,praes,,,act
слыша,слышать,ipf,ger,tran,,praes,,,act
услышав,услышать,pf,ger,tran,,praet,,,act
забыв,забыть,pf,ger,tran,,praet,,,act
стараясь,стараться,ipf,ger,intr,,praes,,,med
отвернувшись,отвернуться,pf,ger,intr,,praet,,,med
думая,думать,ipf,ger,intr,,praes,,,act
пришедше,прийти,pf,ger,intr,,praet,,,act
видевше,видеть,ipf,ger,tran,,praet,,,act
завоевав,завоевать,pf,ger,tran,,praet,,,act
подрывая,подрывать,ipf,ger,tran,,praes,,,act
ссылаясь,ссылаться,ipf,ger,intr,,praes,,,med
расценивая,расценивать,ipf,ger,tran,,praes,,,act
ссылаясь,ссылаться,ipf,ger,intr,,praes,,,med
комментируя,комментировать,ipf,ger,tran,,praes,,,act
ссылаясь,ссылаться,ipf,ger,intr,,praes,,,med
выступая,выступать,ipf,ger,intr,,praes,,,act
подтвердив,подтвердить,pf,ger,tran,,praet,,,act
обвинив,обвинить,pf,ger,tran,,praet,,,act
требуя,требовать,ipf,ger,tran,,praes,,,act
вздохнув,вздохнуть,pf,ger,intr,,praet,,,act
ссылаясь,ссылаться,ipf,ger,intr,,praes,,,med
находя,находить,ipf,ger,tran,,praes,,,act
учитывая,учитывать,ipf,ger,tran,,praes,,,act
спрашивая,спрашивать,ipf,ger,tran,,praes,,,act
считая,считать,ipf,ger,tran,,praes,,,act
отрываясь,отрываться,ipf,ger,intr,,praes,,,med
согнувшись,согнуться,pf,ger,intr,,praet,,,med
считая,считать,ipf,ger,tran,,praes,,,act
боясь,бояться,ipf,ger,intr,,praes,,,med
положа,положить,pf,ger,tran,,praet,,,act
описывая,описывать,ipf,ger,tran,,praes,,,act
отвечая,отвечать,ipf,ger,intr,,praes,,,act
прочитав,прочитать,pf,ger,tran,,praet,,,act
бросив,бросить,pf,ger,tran,,praet,,,act
пытаясь,пытаться,ipf,ger,intr,,praes,,,med
попытавшись,попытаться,pf,ger,intr,,praet,,,med
подняв,поднять,pf,ger,tran,,praet,,,act
отступив,отступить,pf,ger,intr,,praet,,,act
обсуждая,обсуждать,ipf,ger,tran,,praes,,,act
потребовав,потребовать,pf,ger,tran,,praet,,,act
исходя,исходить,ipf,ger,intr,,praes,,,act
делая,делать,ipf,ger,tran,,praes,,,act
озвучив,озвучить,pf,ger,tran,,praet,,,act
услышав,услышать,pf,ger,tran,,praet,,,act
проснувшись,проснуться,pf,ger,intr,,praet,,,med
заработав,заработать,pf,ger,tran,,praet,,,act
выйдя,выйти,pf,ger,intr,,praet,,,act
взирая,взирать,ipf,ger,intr,,praes,,,act
врываясь,врываться,ipf,ger,intr,,praes,,,med
скособочась,скособочиться,pf,ger,intr,,praet,,,med
стоя,стоять,ipf,ger,intr,,praes,,,act
тратя,тратить,ipf,ger,tran,,praes,,,act
разобравшись,разобраться,pf,ger,intr,,praet,,,med
получив,получить,pf,ger,tran,,praet,,,act
подложив,подложить,pf,ger,tran,,praet,,,act
поджав,поджать,pf,ger,tran,,praet,,,act
делая,делать,ipf,ger,tran,,praes,,,act
намыливая,намыливать,ipf,ger,tran,,praes,,,act
считая,считать,ipf,ger,tran,,praes,,,act
обьяснившись,объясниться,pf,ger,intr,,praet,,,med
затаив,затаить,pf,ger,tran,,praet,,,act
проживая,проживать,ipf,ger,tran,,praes,,,act
понимая,понимать,ipf,ger,tran,,praes,,,act
принося,приносить,ipf,ger,tran,,praes,,,act
натыкаясь,натыкаться,ipf,ger,intr,,praes,,,med
вывозя,вывозить,ipf,ger,tran,,praes,,,act
собирая,собирать,ipf,ger,tran,,praes,,,act
поправляя,поправлять,ipf,ger,tran,,praes,,,act
расставляя,расставлять,ipf,ger,tran,,praes,,,act
считая,считать,ipf,ger,tran,,praes,,,act
снимая,снимать,ipf,ger,tran,,praes,,,act
откинув,откинуть,pf,ger,tran,,praet,,,act
думая,думать,ipf,ger,intr,,praes,,,act
думая,думать,ipf,ger,intr,,praes,,,act
переживая,переживать,ipf,ger,tran,,praes,,,act
притворяясь,притворяться,ipf,ger,intr,,praes,,,med
встретив,встретить,pf,ger,tran,,praet,,,act
побледнев,побледнеть,pf,ger,intr,,praet,,,act
создавая,создавать,ipf,ger,tran,,praes,,,act
сменяя,сменять,ipf,ger,tran,,praes,,,act
возвеличивая,возвеличивать,ipf,ger,tran,,praes,,,act
вытирая,вытирать,ipf,ger,tran,,praes,,,act
решив,решить,pf,ger,tran,,praet,,,act
учитывая,учитывать,ipf,ger,tran,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
начиная,начинать,ipf,ger,tran,,praes,,,act
начиная,начинать,ipf,ger,tran,,praes,,,act
отказавшись,отказаться,pf,ger,intr,,praet,,,med
услышав,услышать,pf,ger,tran,,praet,,,act
разведя,развести,pf,ger,tran,,praet,,,act
пытаясь,пытаться,ipf,ger,intr,,praes,,,med
прихватив,прихватить,pf,ger,tran,,praet,,,act
подойдя,подойти,pf,ger,intr,,praet,,,act
пытаясь,пытаться,ipf,ger,intr,,praes,,,med
отстранив,отстранить,pf,ger,tran,,praet,,,act
продемонстрировав,продемонстрировать,pf,ger,tran,,praet,,,act
волоча,волочить,ipf,ger,tran,,praes,,,act
подталкивая,подталкивать,ipf,ger,tran,,praes,,,act
помогая,помогать,ipf,ger,intr,,praes,,,act
следуя,следовать,ipf,ger,intr,,praes,,,act
разобравшись,разобраться,pf,ger,intr,,praet,,,med
услышав,услышать,pf,ger,tran,,praet,,,act
глядя,глядеть,ipf,ger,intr,,praes,,,act
оправдываясь,оправдываться,ipf,ger,intr,,praes,,,med
покосившись,покоситься,pf,ger,intr,,praet,,,med
выделяя,выделять,ipf,ger,tran,,praes,,,act
ценя,ценить,ipf,ger,tran,,praes,,,act
привыкнув,привыкнуть,pf,ger,intr,,praet,,,act
поминая,поминать,ipf,ger,tran,,praes,,,act
играя,играть,ipf,ger,tran,,praes,,,act
вырастая,вырастать,ipf,ger,intr,,praes,,,act
выйдя,выйти,pf,ger,intr,,praet,,,act
спускаясь,спускаться,ipf,ger,intr,,praes,,,med
играя,играть,ipf,ger,tran,,praes,,,act
став,стать,pf,ger,intr,,praet,,,act
вспоминая,вспоминать,ipf,ger,tran,,praes,,,act
успевая,успевать,ipf,ger,intr,,praes,,,act
отнимая,отнимать,ipf,ger,tran,,praes,,,act
разрешив,разрешить,pf,ger,tran,,praet,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
показав,показать,pf,ger,tran,,praet,,,act
услышав,услышать,pf,ger,tran,,praet,,,act
считая,считать,ipf,ger,tran,,praes,,,act
взглянув,взглянуть,pf,ger,intr,,praet,,,act
развязывая,развязывать,ipf,ger,tran,,praes,,,act
выискивая,выискивать,ipf,ger,tran,,praes,,,act
спеша,спешить,ipf,ger,intr,,praes,,,act
получив,получить,pf,ger,tran,,praet,,,act
учась,учиться,ipf,ger,intr,,praes,,,med
возвращаясь,возвращаться,ipf,ger,intr,,praes,,,med
подойдя,подойти,pf,ger,intr,,praet,,,act
успокоив,успокоить,pf,ger,tran,,praet,,,act
настаивая,настаивать,ipf,ger,intr,,praes,,,act
простудившись,простудиться,pf,ger,intr,,praet,,,med
проходя,проходить,ipf,ger,intr,,praes,,,act
желая,желать,ipf,ger,tran,,praes,,,act
находясь,находиться,ipf,ger,intr,,praes,,,med
следя,следить,ipf,ger,intr,,praes,,,act
справившись,справиться,pf,ger,intr,,praet,,,med
установив,установить,pf,ger,tran,,praet,,,act
добравшись,добраться,pf,ger,intr,,praet,,,med
стоя,стоять,ipf,ger,intr,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
подучившись,подучиться,pf,ger,intr,,praet,,,med
учась,учиться,ipf,ger,intr,,praes,,,med
глядя,глядеть,ipf,ger,intr,,praes,,,act
окончив,окончить,pf,ger,tran,,praet,,,act
вообразив,вообразить,pf,ger,tran,,praet,,,act
выкапывая,выкапывать,ipf,ger,tran,,praes,,,act
собираясь,собираться,ipf,ger,intr,,praes,,,med
уезжая,уезжать,ipf,ger,intr,,praes,,,act
залатав,залатать,pf,ger,tran,,praet,,,act
поступив,поступить,pf,ger,intr,,praet,,,act
узнав,узнать,pf,ger,tran,,praet,,,act
следуя,следовать,ipf,ger,intr,,praes,,,act
оставляя,оставлять,ipf,ger,tran,,praes,,,act
высмеивая,высмеивать,ipf,ger,tran,,praes,,,act
работая,работать,ipf,ger,intr,,praes,,,act
воспринимая,воспринимать,ipf,ger,tran,,praes,,,act
преодолевая,преодолевать,ipf,ger,tran,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
прослушав,прослушать,pf,ger,tran,,praet,,,act
прислушиваясь,прислушиваться,ipf,ger,intr,,praes,,,med
растерявшись,растеряться,pf,ger,intr,,praet,,,med
приводя,приводить,ipf,ger,tran,,praes,,,act
анализируя,анализировать,ipf,ger,tran,,praes,,,act
подводя,подводить,ipf,ger,tran,,praes,,,act
окрашивая,окрашивать,ipf,ger,tran,,praes,,,act
утруждая,утруждать,ipf,ger,tran,,praes,,,act
понимая,понимать,ipf,ger,tran,,praes,,,act
забывая,забывать,ipf,ger,tran,,praes,,,act
узнав,узнать,pf,ger,tran,,praet,,,act
съежившись,съежиться,pf,ger,intr,,praet,,,med
поднявшись,подняться,pf,ger,intr,,praet,,,med
встречая,встречать,ipf,ger,tran,,praes,,,act
встречаясь,встречаться,ipf,ger,intr,,praes,,,med
начав,начать,pf,ger,tran,,praet,,,act
находясь,находиться,ipf,ger,intr,,praes,,,med
рассказывая,рассказывать,ipf,ger,tran,,praes,,,act
делясь,делиться,ipf,ger,intr,,praes,,,med
обращаясь,обращаться,ipf,ger,intr,,praes,,,med
интересуясь,интересоваться,ipf,ger,intr,,praes,,,med
пройдя,пройти,pf,ger,tran,,praet,,,act
опаздывая,опаздывать,ipf,ger,intr,,praes,,,act
подойдя,подойти,pf,ger,intr,,praet,,,act
учитывая,учитывать,ipf,ger,tran,,praes,,,act
дав,дать,pf,ger,tran,,praet,,,act
глядя,глядеть,ipf,ger,intr,,praes,,,act
предпочитая,предпочитать,ipf,ger,tran,,praes,,,act
видя,видеть,ipf,ger,tran,,praes,,,act
став,стать,pf,ger,intr,,praet,,,act
работая,работать,ipf,ger,intr,,praes,,,act
выступая,выступать,ipf,ger,intr,,praes,,,act
придя,прийти,pf,ger,intr,,praet,,,act
подвергая,подвергать,ipf,ger,tran,,praes,,,act
отговаривая,отговаривать,ipf,ger,tran,,praes,,,act
спеша,спешить,ipf,ger,intr,,praes,,,act
работая,работать,ipf,ger,intr,,praes,,,act
удаляясь,удаляться,ipf,ger,intr,,praes,,,med
услышав,услышать,pf,ger,tran,,praet,,,act
оглядев,оглядеть,pf,ger,tran,,praet,,,act
занимаясь,заниматься,ipf,ger,intr,,praes,,,med
занимаясь,заниматься,ipf,ger,intr,,praes,,,med
занимаясь,заниматься,ipf,ger,intr,,praes,,,med
слушая,слушать,ipf,ger,tran,,praes,,,act
учась,учиться,ipf,ger,intr,,praes,,,med
приходя,приходить,ipf,ger,intr,,praes,,,act
прослушав,прослушать,pf,ger,tran,,praet,,,act
добавив,добавить,pf,ger,tran,,praet,,,act
закончив,закончить,pf,ger,tran,,praet,,,act
перейдя,перейти,pf,ger,tran,,praet,,,act
посвятив,посвятить,pf,ger,tran,,praet,,,act
устранив,устранить,pf,ger,tran,,praet,,,act
работая,работать,ipf,ger,intr,,praes,,,act
учась,учиться,ipf,ger,intr,,praes,,,med
перейдя,перейти,pf,ger,tran,,praet,,,act
занимаясь,заниматься,ipf,ger,intr,,praes,,,med
получив,получить,pf,ger,tran,,praet,,,act
приводя,приводить,ipf,ger,tran,,praes,,,act
оставляя,оставлять,ipf,ger,tran,,praes,,,act
откладывая,откладывать,ipf,ger,tran,,praes,,,act
задыхаясь,задыхаться,ipf,ger,intr,,praes,,,med
увидев,увидеть,pf,ger,tran,,praet,,,act
доехав,доехать,pf,ger,intr,,praet,,,act
приобретя,приобрести,pf,ger,tran,,praet,,,act
выступив,выступить,pf,ger,intr,,praet,,,act
вспоминая,вспоминать,ipf,ger,tran,,praes,,,act
исходя,исходить,ipf,ger,intr,,praes,,,act
приехав,приехать,pf,ger,intr,,praet,,,act
находясь,находиться,ipf,ger,intr,,praes,,,med
сославшись,сослаться,pf,ger,intr,,praet,,,med
забегая,забегать,ipf,ger,intr,,praes,,,act
сойдя,сойти,pf,ger,intr,,praet,,,act
решив,решить,pf,ger,tran,,praet,,,act
написав,написать,pf,ger,tran,,praet,,,act
получив,получить,pf,ger,tran,,praet,,,act
придя,прийти,pf,ger,intr,,praet,,,act
поручая,поручать,ipf,ger,tran,,praes,,,act
пристроив,пристроить,pf,ger,tran,,praet,,,act
уговаривая,уговаривать,ipf,ger,tran,,praes,,,act
хватая,хватать,ipf,ger,tran,,praes,,,act
строгая,строгать,ipf,ger,tran,,praes,,,act
находясь,находиться,ipf,ger,intr,,praes,,,med
сломив,сломить,pf,ger,tran,,praet,,,act
узнав,узнать,pf,ger,tran,,praet,,,act
благословив,благословить,pf,ger,tran,,praet,,,act
напоив,напоить,pf,ger,tran,,praet,,,act
совершив,совершить,pf,ger,tran,,praet,,,act
наслаждаясь,наслаждаться,ipf,ger,intr,,praes,,,med
поблагодарив,поблагодарить,pf,ger,tran,,praet,,,act
окончив,окончить,pf,ger,tran,,praet,,,act
понимая,понимать,ipf,ger,tran,,praes,,,act
поручая,поручать,ipf,ger,tran,,praes,,,act
приглашая,приглашать,ipf,ger,tran,,praes,,,act
поздоровавшись,поздороваться,pf,ger,intr,,praet,,,med
стоя,стоять,ipf,ger,intr,,praes,,,act
заставляя,заставлять,ipf,ger,tran,,praes,,,act
подготовив,подготовить,pf,ger,tran,,praet,,,act
сочиняя,сочинять,ipf,ger,tran,,praes,,,act
понимая,понимать,ipf,ger,tran,,praes,,,act
окрепнув,окрепнуть,pf,ger,intr,,praet,,,act
испив,испить,pf,ger,tran,,praet,,,act
выйдя,выйти,pf,ger,intr,,praet,,,act
находясь,находиться,ipf,ger,intr,,praes,,,med
занимаясь,заниматься,ipf,ger,intr,,praes,,,med
учитывая,учитывать,ipf,ger,tran,,praes,,,act
войдя,войти,pf,ger,intr,,praet,,,act
проверяя,проверять,ipf,ger,tran,,praes,,,act
работая,работать,ipf,ger,intr,,praes,,,act
вручая,вручать,ipf,ger,tran,,praes,,,act
стоя,стоять,ipf,ger,intr,,praes,,,act
оплакивая,оплакивать,ipf,ger,tran,,praes,,,act
подчеркнув,подчеркнуть,pf,ger,tran,,praet,,,act
ущемляя,ущемлять,ipf,ger,tran,,praes,,,act
выдержав,выдержать,pf,ger,tran,,praet,,,act
заложив,заложить,pf,ger,tran,,praet,,,act
объездив,объездить,pf,ger,tran,,praet,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
познакомившись,познакомиться,pf,ger,intr,,praet,,,med
завоевав,завоевать,pf,ger,tran,,praet,,,act
стоя,стоять,ipf,ger,intr,,praes,,,act
выбивая,выбивать,ipf,ger,tran,,praes,,,act
узнав,узнать,pf,ger,tran,,praet,,,act
рассчитав,рассчитать,pf,ger,tran,,praet,,,act
чувствуя,чувствовать,ipf,ger,tran,,praes,,,act
открывая,открывать,ipf,ger,tran,,praes,,,act
злоупотребляя,злоупотреблять,ipf,ger,intr,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
придя,прийти,pf,ger,intr,,praet,,,act
образуя,образовывать,ipf,ger,tran,,praes,,,act
стараясь,стараться,ipf,ger,intr,,praes,,,med
надписав,надписать,pf,ger,tran,,praet,,,act
получив,получить,pf,ger,tran,,praet,,,act
улыбаясь,улыбаться,ipf,ger,intr,,praes,,,med
опустив,опустить,pf,ger,tran,,praet,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
отложив,отложить,pf,ger,tran,,praet,,,act
решив,решить,pf,ger,tran,,praet,,,act
сопроводив,сопроводить,pf,ger,tran,,praet,,,act
прослушав,прослушать,pf,ger,tran,,praet,,,act
стоя,стоять,ipf,ger,intr,,praes,,,act
согласившись,согласиться,pf,ger,intr,,praet,,,med
понимая,понимать,ipf,ger,tran,,praes,,,act
исполняя,исполнять,ipf,ger,tran,,praes,,,act
сохраняя,сохранять,ipf,ger,tran,,praes,,,act
стараясь,стараться,ipf,ger,intr,,praes,,,med
находясь,находиться,ipf,ger,intr,,praes,,,med
рассказывая,рассказывать,ipf,ger,tran,,praes,,,act
поздравляя,поздравлять,ipf,ger,tran,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
оговаривая,оговаривать,ipf,ger,tran,,praes,,,act
забегая,забегать,ipf,ger,intr,,praes,,,act
наклонившись,наклониться,pf,ger,intr,,praet,,,med
оправившись,оправиться,pf,ger,intr,,praet,,,med
вспоминая,вспоминать,ipf,ger,tran,,praes,,,act
обрадовавшись,обрадоваться,pf,ger,intr,,praet,,,med
забыв,забыть,pf,ger,tran,,praet,,,act
продолжая,продолжать,ipf,ger,tran,,praes,,,act
услышав,услышать,pf,ger,tran,,praet,,,act
желая,желать,ipf,ger,tran,,praes,,,act
работая,работать,ipf,ger,intr,,praes,,,act
уехав,уехать,pf,ger,intr,,praet,,,act
увлёкшись,увлечься,pf,ger,intr,,praet,,,med
спасая,спасать,ipf,ger,tran,,praes,,,act
пригласив,пригласить,pf,ger,tran,,praet,,,act
спрашивая,спрашивать,ipf,ger,tran,,praes,,,act
ставя,ставить,ipf,ger,tran,,praes,,,act
подготовив,подготовить,pf,ger,tran,,praet,,,act
видя,видеть,ipf,ger,tran,,praes,,,act
привыкнув,привыкнуть,pf,ger,intr,,praet,,,act
подготовив,подготовить,pf,ger,tran,,praet,,,act
готовясь,готовиться,ipf,ger,intr,,praes,,,med
видя,видеть,ipf,ger,tran,,praes,,,act
беспокоясь,беспокоиться,ipf,ger,intr,,praes,,,med
думая,думать,ipf,ger,intr,,praes,,,act
прочитав,прочитать,pf,ger,tran,,praet,,,act
утешая,утешать,ipf,ger,tran,,praes,,,act
насилуя,насиловать,ipf,ger,tran,,praes,,,act
превозмогая,превозмогать,ipf,ger,tran,,praes,,,act
пройдя,пройти,pf,ger,tran,,praet,,,act
объездив,объездить,pf,ger,tran,,praet,,,act
стараясь,стараться,ipf,ger,intr,,praes,,,med
слушая,слушать,ipf,ger,tran,,praes,,,act
утомившись,утомиться,pf,ger,intr,,praet,,,med
видя,видеть,ipf,ger,tran,,praes,,,act
работая,работать,ipf,ger,intr,,praes,,,act
оказывая,оказывать,ipf,ger,tran,,praes,,,act
следуя,следовать,ipf,ger,intr,,praes,,,act
пригласив,пригласить,pf,ger,tran,,praet,,,act
стоя,стоять,ipf,ger,intr,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
переехав,переехать,pf,ger,tran,,praet,,,act
приехав,приехать,pf,ger,intr,,praet,,,act
поздравляя,поздравлять,ipf,ger,tran,,praes,,,act
вручая,вручать,ipf,ger,tran,,praes,,,act
приветствуя,приветствовать,ipf,ger,tran,,praes,,,act
спасая,спасать,ipf,ger,tran,,praes,,,act
прекращая,прекращать,ipf,ger,tran,,praes,,,act
переживая,переживать,ipf,ger,tran,,praes,,,act
оценивая,оценивать,ipf,ger,tran,,praes,,,act
вспоминая,вспоминать,ipf,ger,tran,,praes,,,act
сохранив,сохранить,pf,ger,tran,,praet,,,act
пройдя,пройти,pf,ger,tran,,praet,,,act
создавая,создавать,ipf,ger,tran,,praes,,,act
приурочив,приурочить,pf,ger,tran,,praet,,,act
учитывая,учитывать,ipf,ger,tran,,praes,,,act
исполняя,исполнять,ipf,ger,tran,,praes,,,act
прибрав,прибрать,pf,ger,tran,,praet,,,act
уговорив,уговорить,pf,ger,tran,,praet,,,act
начиная,начинать,ipf,ger,tran,,praes,,,act
видя,видеть,ipf,ger,tran,,praes,,,act
обращаясь,обращаться,ipf,ger,intr,,praes,,,med
утешая,утешать,ipf,ger,tran,,praes,,,act
исполняя,исполнять,ipf,ger,tran,,praes,,,act
отмечая,отмечать,ipf,ger,tran,,praes,,,act
отмечая,отмечать,ipf,ger,tran,,praes,,,act
подумав,подумать,pf,ger,intr,,praet,,,act
решив,решить,pf,ger,tran,,praet,,,act
приглашая,приглашать,ipf,ger,tran,,praes,,,act
прислушиваясь,прислушиваться,ipf,ger,intr,,praes,,,med
желая,желать,ipf,ger,tran,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
понимая,понимать,ipf,ger,tran,,praes,,,act
увидев,увидеть,pf,ger,tran,,praet,,,act
образуя,образовать,ipf,ger,tran,,praes,,,act
обдумывая,обдумывать,ipf,ger,tran,,praes,,,act
оказавшись,оказаться,pf,ger,intr,,praet,,,med
пытаясь,пытаться,ipf,ger,intr,,praes,,,med
помогая,помогать,ipf,ger,intr,,praes,,,act
стоя,стоять,ipf,ger,intr,,praes,,,act
приехав,приехать,pf,ger,intr,,praet,,,act
направляя,направлять,ipf,ger,tran,,praes,,,act
являясь,являться,ipf,ger,intr,,praes,,,med
поощряя,поощрять,ipf,ger,tran,,praes,,,act
